Ch1 Amplitude,Ch2 Amplitude,Cluster
-39.72975,700.5118,1
-36.7038727,695.5992,1
-36.166954,698.532959,1
-33.8877945,740.2735,1
-33.0851059,703.5662,1
-32.7977524,708.4296,1
-32.58017,691.4703,1
-32.5377426,651.2353,1
-30.8579941,702.363953,1
-30.7271347,660.069153,1
-30.6933651,705.4061,1
-29.75296,733.97,1
-28.24426,688.459167,1
-28.2160873,684.7793,1
-28.2009583,680.343567,1
-28.0153961,691.1175,1
-27.66112,639.8555,1
-27.1247234,691.2889,1
-27.0184937,726.529053,1
-26.4866753,662.06134,1
-26.47028,711.9866,1
-26.0494175,681.7613,1
-25.2766361,731.7563,1
-25.26195,678.419067,1
-25.08933,677.855347,1
-25.03035,705.9477,1
-24.8949623,683.309753,1
-24.6338348,666.6067,1
-24.42171,676.9804,1
-24.375248,717.493,1
-24.1339684,677.02,1
-23.7487869,726.6441,1
-23.7028637,647.275269,1
-23.361414,682.8244,1
-23.18011,683.3041,1
-23.1410942,697.8709,1
-23.0775642,680.4905,1
-22.9720039,705.0762,1
-22.6845379,677.4771,1
-22.6628246,721.0281,1
-22.6527386,629.5414,1
-22.6266556,651.4242,1
-22.5721779,695.760437,1
-22.38009,733.07135,1
-22.3184967,696.9471,1
-22.25801,725.1664,1
-22.2522926,678.146851,1
-21.9284019,675.9967,1
-21.6142139,702.8926,1
-21.5335655,688.311462,1
-21.392149,639.069946,1
-21.3545628,678.245667,1
-21.3260078,714.0722,1
-21.2174168,655.9993,1
-21.1493282,631.4349,1
-20.9934368,624.6679,1
-20.9540825,651.0276,1
-20.81782,713.1682,1
-20.797184,738.6292,1
-20.7448025,669.0514,1
-20.411726,630.1677,1
-20.3906956,654.227356,1
-20.3839378,695.8843,1
-20.3353615,707.825256,1
-20.2820473,681.569153,1
-20.245203,689.6205,1
-20.1952953,691.8893,1
-20.1162834,690.2535,1
-19.9449711,660.8332,1
-19.8560429,724.3527,1
-19.6183147,749.3462,1
-19.58178,721.1107,1
-19.4629745,674.121,1
-19.32841,655.230835,1
-19.2010822,677.8897,1
-19.1316376,659.178162,1
-19.01711,641.5851,1
-18.9897861,696.416748,1
-18.9347229,672.1642,1
-18.8974419,709.5919,1
-18.82815,660.9605,1
-18.59633,646.657166,1
-18.5848751,737.319153,1
-18.4398117,691.4565,1
-18.349329,659.8049,1
-18.3328514,672.387451,1
-18.3141136,679.0041,1
-18.2113667,644.756042,1
-18.1208382,648.397339,1
-18.0867538,676.6335,1
-18.0357113,680.8491,1
-18.0324154,642.004456,1
-17.8968983,712.2226,1
-17.8713436,680.0843,1
-17.7549057,671.9288,1
-17.6037579,657.857361,1
-17.4490929,655.2365,1
-17.3923,717.0482,1
-17.2573,696.532837,1
-17.10194,643.6821,1
-17.0760174,640.2276,1
-16.9528217,691.058167,1
-16.9034042,660.1903,1
-16.8543739,653.4097,1
-16.8152,661.941833,1
-16.5956917,669.7759,1
-16.5505962,698.3223,1
-16.5036812,675.4517,1
-16.4320774,681.3319,1
-16.4112873,730.3214,1
-16.2951927,703.1917,1
-16.191164,653.1972,1
-16.1861954,635.542,1
-16.1390648,635.345154,1
-16.1093636,665.197266,1
-16.0823383,669.9706,1
-16.077961,675.815,1
-16.0757961,674.508545,1
-16.01857,641.594849,1
-15.9897118,679.8493,1
-15.9447517,662.139343,1
-15.9169073,742.957764,1
-15.9055567,706.7396,1
-15.88255,742.578857,1
-15.8592072,643.025269,1
-15.8464489,693.820557,1
-15.7980852,653.2193,1
-15.7166815,658.8432,1
-15.61397,711.8613,1
-15.5534573,670.2585,1
-15.3787918,674.681458,1
-15.376049,666.342,1
-15.3705673,693.871338,1
-15.3468733,708.7417,1
-15.2748833,646.1306,1
-15.1718416,669.3236,1
-15.0622663,682.8332,1
-15.01965,651.9412,1
-15.0049467,691.9558,1
-14.9604836,658.4216,1
-14.9442911,670.1925,1
-14.8866024,686.821838,1
-14.7495165,654.456848,1
-14.7132444,637.1577,1
-14.7125635,661.4668,1
-14.6537189,733.9003,1
-14.6289549,696.3446,1
-14.6091671,617.5566,1
-14.581584,625.2156,1
-14.5264378,663.1522,1
-14.5234337,643.876038,1
-14.5136766,671.2335,1
-14.50077,631.667236,1
-14.43363,735.07666,1
-14.4079056,699.6099,1
-14.308959,653.199463,1
-14.2372875,738.1483,1
-14.2245312,686.7987,1
-14.2148361,702.0331,1
-14.1955442,695.2795,1
-14.1907272,661.434,1
-14.1369944,643.089233,1
-14.1005964,738.364258,1
-14.0613165,686.8991,1
-13.9868488,643.3678,1
-13.9533606,709.4439,1
-13.9317493,613.0907,1
-13.8397169,712.9204,1
-13.8066025,636.6633,1
-13.7614985,677.6895,1
-13.6859961,614.9909,1
-13.6444149,712.850159,1
-13.6329956,645.265564,1
-13.6212912,678.35376,1
-13.5700788,627.7922,1
-13.53811,647.8049,1
-13.5022669,681.2254,1
-13.3245859,694.282349,1
-13.3123789,629.5911,1
-13.2152452,722.9046,1
-13.2140036,661.4275,1
-13.1989088,696.8008,1
-13.1607523,688.553,1
-13.045207,693.100769,1
-13.0379353,645.49054,1
-13.0175276,714.1852,1
-12.9764824,680.005,1
-12.8886175,689.723938,1
-12.8606443,715.279236,1
-12.8291636,662.6918,1
-12.79374,702.352234,1
-12.7251787,719.6331,1
-12.6912594,665.8543,1
-12.6761265,608.264,1
-12.55816,625.1145,1
