Ch1 Amplitude,Ch2 Amplitude,Cluster
-43.6058159,704.6843,1
-43.5597153,698.7519,1
-43.2294922,737.002136,1
-42.9998932,739.187744,1
-40.2254333,694.3103,1
-39.5145149,684.47,1
-39.34952,668.6674,1
-38.8119354,647.980347,1
-38.7861176,680.3066,1
-38.2030144,697.3212,1
-38.1660423,707.222168,1
-38.1403236,813.7236,1
-36.99701,692.3282,1
-36.7457352,765.8438,1
-36.106987,685.9585,1
-35.06258,740.7922,1
-35.0076752,746.0966,1
-34.736084,696.832336,1
-33.8404274,690.4563,1
-33.83934,681.871155,1
-33.8208847,733.088135,1
-33.4851532,737.3938,1
-32.7436256,633.489868,1
-32.51706,714.701538,1
-32.34789,720.7211,1
-31.1088066,731.3147,1
-30.7636471,681.0309,1
-30.7114,713.1376,1
-30.7010784,698.703369,1
-30.6565189,660.3545,1
-30.496067,721.3929,1
-30.3804531,705.09906,1
-30.0801353,723.863953,1
-29.8851776,714.427063,1
-29.8194141,676.9647,1
-29.2739487,766.3338,1
-28.9174671,715.1737,1
-28.6249447,684.325439,1
-28.5651741,718.1502,1
-28.52557,711.7666,1
-28.4180336,694.7754,1
-28.231884,744.6454,1
-28.1368618,724.5478,1
-28.0745239,713.372864,1
-27.9762516,678.65,1
-27.7878647,681.6393,1
-27.58125,738.5059,1
-27.5485229,666.572754,1
-27.4808,701.5123,1
-27.334959,723.5365,1
-27.2236156,685.007141,1
-27.1967182,733.7631,1
-27.1542282,669.5308,1
-27.148325,767.9972,1
-27.1173553,712.0341,1
-27.085,699.771545,1
-27.07,737.160461,1
-27.02817,739.679138,1
-26.9591045,693.0229,1
-26.9502029,704.4696,1
-26.92124,680.0041,1
-26.8063488,780.8176,1
-26.8003922,741.429,1
-26.7598076,711.2102,1
-26.6503811,754.95,1
-26.4316082,710.3813,1
-26.0690784,730.4364,1
-26.02874,705.971252,1
-25.97916,725.0088,1
-25.9415989,696.199036,1
-25.9271431,692.8031,1
-25.91669,763.491455,1
-25.8529835,789.559448,1
-25.76503,702.401245,1
-25.70115,704.311462,1
-25.6922359,707.682556,1
-25.6472111,674.3563,1
-25.5791721,743.641052,1
-25.4881458,708.3658,1
-25.4600811,673.9064,1
-25.4311333,733.5412,1
-25.21925,722.7842,1
-25.19885,722.292847,1
-25.1719627,710.1352,1
-25.149807,677.465942,1
-25.1328259,692.0114,1
-24.95711,698.101746,1
-24.8369064,688.967346,1
-24.81148,663.5017,1
-24.6341343,696.7987,1
-24.5136166,683.0289,1
-24.5117245,657.899658,1
-24.4871635,704.1187,1
-24.48397,712.2296,1
-24.32946,693.675537,1
-24.1976089,716.4635,1
-24.0853748,687.2287,1
-24.073225,737.801636,1
-24.055,723.4494,1
-23.97561,686.1278,1
-23.9698544,645.7701,1
-23.7461929,688.3486,1
-23.7323189,607.1567,1
-23.7317371,653.2113,1
-23.6664314,801.7225,1
-23.608387,697.446838,1
-23.5553417,702.53656,1
-23.45823,738.9421,1
-23.4155884,702.478,1
-23.4104424,663.4039,1
-23.3251343,662.3443,1
-23.3054676,707.3895,1
-23.2898769,672.1977,1
-23.1970062,764.204346,1
-23.0285,644.5579,1
-22.9494514,721.4465,1
-22.9264622,743.1666,1
-22.8797359,717.9847,1
-22.8708553,695.119446,1
-22.86264,655.509949,1
-22.86119,685.0459,1
-22.756115,739.2292,1
-22.7406044,662.6589,1
-22.7057629,723.355957,1
-22.5612621,668.6702,1
-22.5579739,672.2769,1
-22.5211086,648.2056,1
-22.5197525,707.7691,1
-22.47876,693.4326,1
-22.3806686,717.3445,1
-22.3740559,652.1961,1
-22.35978,691.7191,1
-22.0964756,680.2003,1
-22.09196,700.7628,1
-22.0870018,670.8577,1
-22.07022,676.3306,1
-22.0024719,655.8029,1
-21.9527473,690.8021,1
-21.8649254,701.678955,1
-21.7131634,701.250366,1
-21.6827335,672.753235,1
-21.68262,688.1295,1
-21.6726589,726.4593,1
-21.6631527,718.4061,1
-21.6184349,674.7161,1
-21.6027184,678.9546,1
-21.58209,710.169434,1
-21.5630016,747.889832,1
-21.5294971,661.4294,1
-21.44855,701.467346,1
-21.3306942,700.554443,1
-21.3005257,658.8347,1
-21.2458172,637.445862,1
-21.1907368,690.725,1
-21.14216,718.8497,1
-21.1022339,723.378967,1
-21.0716038,714.1114,1
-21.0596714,748.4854,1
-20.9556675,679.9467,1
-20.7946033,724.358643,1
-20.782032,702.9834,1
-20.7660732,721.6203,1
-20.6590385,673.0765,1
-20.6339188,720.9956,1
-20.5853348,676.140747,1
-20.5737782,642.3645,1
-20.5727253,664.9605,1
-20.5618515,685.738953,1
-20.4996243,668.5741,1
-20.4916782,712.705261,1
-20.4814529,701.614258,1
-20.3081951,719.437134,1
-20.2023487,685.6468,1
-20.0657482,669.3695,1
-20.059164,705.8783,1
-19.9877453,711.532837,1
-19.932045,690.342957,1
-19.8992538,701.2896,1
-19.8934574,727.807434,1
-19.8917313,621.8996,1
-19.7955952,736.650452,1
-19.7713757,643.950134,1
-19.7429218,691.073242,1
-19.684782,724.912231,1
-19.5886974,678.3774,1
-19.5653667,687.876,1
-19.5231857,664.7953,1
-19.5152683,620.739441,1
-19.4925346,734.5954,1
-19.486042,690.519836,1
-19.4805222,656.517944,1
-19.4226036,689.224548,1
-19.40559,683.272156,1
-19.3964443,670.080139,1
-19.3964157,676.7749,1
-19.3859138,698.3143,1
-19.3549175,691.1968,1
-19.3063164,751.368652,1
-19.1651173,681.765564,1
-19.1270256,688.485352,1
-19.12621,693.2398,1
-19.0786247,689.867737,1
-19.0547237,716.4225,1
-19.0344868,722.40686,1
-19.027195,647.4512,1
-19.0003834,674.3962,1
-18.9744759,703.501038,1
-18.9137115,750.2596,1
-18.8487263,665.068848,1
-18.84508,737.5194,1
-18.82375,652.800842,1
-18.8200951,706.4952,1
-18.7681961,683.4945,1
-18.7461414,692.479736,1
-18.7459965,704.7598,1
-18.7050571,663.7735,1
-18.6635838,677.058167,1
-18.6216335,644.660767,1
-18.6073513,682.0324,1
-18.5159149,702.734558,1
-18.5127983,666.149963,1
-18.5096016,646.2894,1
-18.5068417,697.3012,1
-18.4723454,682.8798,1
-18.4722137,766.7289,1
-18.3983364,671.7879,1
-18.37423,752.4471,1
-18.3592129,686.47876,1
-18.3271427,770.305,1
-18.2987423,690.473633,1
-18.2529583,698.2552,1
-18.2464,687.2427,1
-18.1500225,691.76886,1
-18.14039,708.335266,1
-18.1378517,676.6422,1
-18.0995922,743.17334,1
-18.077282,641.8265,1
-18.0751419,664.1975,1
-18.0549717,693.3729,1
-18.0192375,696.7218,1
-18.0133057,730.2331,1
-17.9923763,705.133545,1
-17.984621,676.9635,1
-17.9465179,737.0434,1
-17.905447,612.3097,1
-17.899437,685.1204,1
-17.802309,683.8982,1
-17.7749748,708.6315,1
-17.7651234,662.654968,1
-17.757122,705.447754,1
-17.7407036,659.6298,1
-17.725317,682.9826,1
-17.6783676,748.133057,1
-17.6662045,713.1491,1
-17.6591473,647.549,1
-17.5637054,679.33844,1
-17.52499,667.14,1
-17.5248928,668.571655,1
-17.4683743,678.6702,1
-17.4562149,761.878845,1
-17.4416256,685.864258,1
-17.4335976,686.8864,1
-17.3913727,742.725647,1
-17.3820648,699.356262,1
-17.3566914,659.6559,1
-17.3363419,729.079468,1
-17.3169479,622.0411,1
-17.2808323,665.3646,1
-17.2705612,667.6064,1
-17.1910553,705.290955,1
-17.1771,710.7718,1
-17.12941,670.238037,1
-17.1239243,662.6663,1
-17.1145611,696.885559,1
-17.0906086,686.3645,1
-17.0672913,695.508,1
-17.03791,732.396362,1
-17.030365,712.029236,1
-17.0157433,643.102661,1
-16.979641,629.9596,1
-16.958004,646.144836,1
-16.9340954,724.343933,1
-16.8854923,698.707153,1
-16.870676,702.7594,1
-16.8346157,685.143,1
-16.80799,737.1554,1
-16.7500744,677.0533,1
-16.73869,717.5055,1
-16.7046051,666.9414,1
-16.6573658,687.997437,1
-16.65218,683.6738,1
-16.5965672,774.9036,1
-16.5927773,655.192749,1
-16.57851,655.328369,1
-16.5318012,677.4772,1
-16.50009,665.4526,1
-16.495388,657.7311,1
-16.4029312,650.1596,1
-16.35991,643.5559,1
-16.3517075,659.6445,1
-16.3316536,684.895264,1
-16.269453,769.497742,1
-16.2535648,659.0926,1
-16.2015648,680.437561,1
-16.1931477,682.025757,1
-16.1765461,648.0903,1
-16.1756935,697.2081,1
-16.15408,709.4078,1
-16.149519,722.2551,1
-16.0908184,657.1812,1
-16.0811768,714.8919,1
-16.0777817,673.253357,1
-16.0247459,713.306946,1
-16.0214958,691.748047,1
-16.0199528,684.601,1
-16.0179062,808.986755,1
-16.0083637,672.477356,1
-15.9335527,673.5842,1
-15.8605938,759.6933,1
-15.8601322,687.4156,1
-15.7957668,687.0578,1
-15.7942324,673.8353,1
-15.7709227,712.893433,1
-15.7551918,697.997131,1
-15.736064,669.059265,1
-15.6873407,706.677246,1
-15.6753874,680.707642,1
-15.6728086,678.8188,1
-15.6572142,678.810364,1
-15.6241922,749.4094,1
-15.6060076,697.387939,1
-15.6017714,711.2112,1
-15.4739819,717.980469,1
-15.4568615,658.625061,1
-15.3672848,672.492554,1
-15.3543816,731.534668,1
-15.3290281,699.263062,1
-15.3242407,681.117,1
-15.309804,679.8043,1
-15.291193,670.789368,1
-15.2886648,657.9042,1
-15.2078829,641.7984,1
-15.18557,703.0312,1
-15.1491175,652.3126,1
-15.1314611,687.8835,1
-15.1241789,692.987,1
-15.0639668,726.7,1
-14.9749861,720.348633,1
-14.95622,633.8005,1
-14.9395227,691.3299,1
-14.9120007,676.061035,1
-14.9113045,723.3526,1
-14.871974,671.795044,1
-14.8547487,714.4556,1
-14.8432093,708.02,1
-14.8065748,696.698059,1
-14.7822428,724.667358,1
-14.7493057,698.020264,1
-14.748517,634.3725,1
-14.7147045,739.7266,1
-14.7018642,693.4929,1
-14.6871977,650.545044,1
-14.6698618,670.819641,1
-14.669487,791.910461,1
-14.6640978,657.786743,1
-14.6625051,746.4947,1
-14.6500444,727.309631,1
-14.6416721,695.9488,1
-14.6269379,658.045,1
-14.6060638,681.479248,1
-14.5733614,674.345947,1
-14.5196142,690.8377,1
-14.5082626,693.342163,1
-14.4781837,708.426147,1
-14.3999786,644.3512,1
-14.3844929,626.8575,1
-14.3805733,662.455566,1
-14.3789988,686.222168,1
-14.3555756,700.1833,1
-14.2572775,741.835449,1
-14.2517033,745.2489,1
-14.2096863,740.0995,1
-14.1943808,701.448669,1
-14.1909809,680.406067,1
-14.1904926,712.7029,1
-14.1853113,697.7049,1
-14.1719952,667.694763,1
-14.121067,704.9205,1
-14.1103277,681.2183,1
-14.0919647,649.218,1
-14.08364,711.6753,1
-14.0821543,702.461,1
-14.0758381,686.2982,1
-14.0606785,696.2736,1
-14.0602331,723.0506,1
-14.0139608,661.141357,1
-13.98619,634.6497,1
-13.98611,653.394958,1
-13.9760485,641.152039,1
-13.9732409,625.437744,1
-13.9715748,694.4012,1
-13.9670916,672.1246,1
-13.9526014,671.2685,1
-13.9141331,672.346558,1
-13.908658,717.676147,1
-13.9061861,635.4486,1
-13.89374,655.6955,1
-13.883153,675.451233,1
-13.85351,687.0209,1
-13.8476181,697.8197,1
-13.815587,601.2899,1
-13.7615156,671.6779,1
-13.7402229,695.0425,1
-13.7360964,662.520569,1
-13.6957674,685.2024,1
-13.6951008,710.0471,1
-13.6915169,698.2265,1
-13.6414242,667.664551,1
-13.638773,709.549133,1
-13.5926981,692.5381,1
-13.5772095,660.5184,1
-13.5487909,656.1356,1
-13.5346,692.7248,1
-13.4899273,748.319,1
-13.4743071,659.643555,1
-13.4731359,710.5043,1
-13.46673,676.1875,1
-13.46046,671.336243,1
-13.4386578,677.202759,1
-13.43531,754.7502,1
-13.4330559,716.0136,1
-13.38946,721.764038,1
-13.3880024,703.5138,1
-13.3666105,704.4505,1
-13.36422,710.756,1
-13.3302984,640.9818,1
-13.2931461,679.2118,1
-13.27549,767.574036,1
-13.2716427,713.9418,1
-13.2406855,714.6584,1
-13.2378016,659.578735,1
-13.2259617,707.9385,1
-13.2055035,771.207642,1
-13.198225,722.105652,1
-13.1926489,699.2096,1
-13.1821241,702.1441,1
-13.18122,694.8011,1
-13.1742735,653.2272,1
-13.1449022,707.3732,1
-13.1254177,680.203247,1
-13.1100721,629.027466,1
-13.0561056,716.9387,1
-13.0524855,727.0572,1
-13.0325127,633.386,1
-13.01829,709.046936,1
-13.0181246,690.70874,1
-13.0107851,684.646667,1
-13.0058193,672.975037,1
-12.9863234,715.130249,1
-12.9839621,689.0898,1
-12.9213648,686.899231,1
-12.9156971,694.455,1
-12.9149981,691.4573,1
-12.9077806,773.5763,1
-12.88746,656.9698,1
-12.8748932,692.230347,1
-12.8495522,722.2417,1
-12.7811556,648.046,1
-12.7674885,737.453857,1
-12.7112322,686.2882,1
-12.701272,652.2318,1
-12.6809311,701.678162,1
-12.6712341,658.774048,1
-12.6469669,683.768555,1
-12.6423817,662.8553,1
-12.6306334,657.9526,1
-12.6206226,692.9056,1
-12.599925,747.281555,1
-12.5486164,659.421,1
-12.5240917,665.1859,1
-12.521245,712.077332,1
-12.515727,695.892639,1
-12.4922533,645.235,1
-12.4918394,693.555054,1
-12.4098549,685.5839,1
-12.3943729,659.4439,1
-12.3906736,701.6477,1
-12.3733635,718.8856,1
-12.3579054,658.8496,1
-12.3369389,645.0825,1
-12.331111,671.2184,1
-12.3156366,710.7459,1
-12.3126745,702.691345,1
-12.3035011,680.379456,1
-12.303215,637.280762,1
-12.3004055,704.9068,1
-12.2752781,709.3746,1
-12.2482328,633.6954,1
-12.1808767,669.2885,1
-12.1743193,670.875244,1
-12.168931,691.754761,1
-12.1558714,682.6508,1
-12.1394176,742.7826,1
-12.1361408,660.55365,1
-12.1038876,633.3153,1
-12.0907631,733.032959,1
-12.0808554,691.6584,1
-12.0802069,686.2782,1
-12.0572739,694.3762,1
-12.0396051,785.0436,1
-12.0259962,692.812744,1
-12.0182724,664.4287,1
-12.01593,706.5856,1
-12.0028067,707.5979,1
-11.9637842,703.5695,1
-11.95309,636.7431,1
-11.9529781,604.390869,1
-11.9376326,724.110962,1
-11.9253969,671.323364,1
-11.91351,677.451965,1
-11.8669968,638.970642,1
-11.85598,682.562866,1
-11.8401594,705.216248,1
-11.8325558,733.436,1
-11.825696,677.2787,1
-11.8235149,698.2725,1
-11.7841749,668.022034,1
-11.7816162,751.6835,1
-11.7716446,714.7319,1
-11.7640133,681.1588,1
-11.7377453,712.745361,1
-11.71736,671.2358,1
-11.694746,715.2525,1
-11.6839933,711.011841,1
-11.6592474,635.8675,1
-11.6530008,666.529846,1
-11.6404743,678.5966,1
-11.64028,695.448853,1
-11.6122427,717.342957,1
-11.5179262,683.357666,1
-11.4949589,696.7876,1
-11.4579105,736.7072,1
-11.45348,722.9323,1
-11.4458666,701.5034,1
-11.4309235,659.0013,1
-11.41682,672.370361,1
-11.4163284,673.7398,1
-11.4094219,769.067932,1
-11.3812218,741.7525,1
-11.352478,729.2063,1
-11.3237009,658.048645,1
-11.2760067,690.0963,1
-11.2665119,718.7512,1
-11.2654839,689.0778,1
-11.2602472,664.4717,1
-11.2556953,657.142151,1
-11.2211342,645.8329,1
-11.2121058,665.0119,1
-11.2094507,676.665161,1
-11.2080479,658.091064,1
-11.2060156,636.2188,1
-11.2022467,662.0518,1
-11.1897039,703.235,1
-11.18598,679.820251,1
-11.1846457,651.350464,1
-11.1759844,773.256958,1
-11.1716261,709.1889,1
-11.1666508,630.387146,1
-11.1504745,665.7222,1
-11.1133013,728.5043,1
-11.1075087,738.2265,1
-11.0992737,708.3933,1
-11.0370455,727.2197,1
-11.0314846,657.583862,1
-11.00026,651.3031,1
-10.9967613,670.9801,1
-10.9947653,737.261353,1
-10.968009,756.179,1
-10.9662676,648.413,1
-10.9391985,674.2141,1
-10.9383926,688.214966,1
-10.9349451,725.1159,1
-10.9334469,674.21936,1
-10.9320192,674.3759,1
-10.913166,677.9371,1
-10.89699,735.594543,1
-10.8951788,668.3538,1
-10.8793554,695.274658,1
-10.8772774,671.539368,1
-10.8732557,677.833435,1
-10.857707,678.6406,1
-10.8561172,724.2759,1
-10.85429,690.6244,1
-10.8500948,651.910034,1
-10.8385487,677.2752,1
-10.8379917,678.9104,1
-10.8325672,640.586731,1
-10.8177376,625.1641,1
-10.8146973,741.5926,1
-10.8142719,656.7935,1
-10.8139772,716.1475,1
-10.8133383,676.7127,1
-10.8026867,654.890564,1
-10.7709618,699.6519,1
-10.7586956,686.445557,1
-10.7581329,668.4828,1
-10.755764,736.0763,1
-10.7432384,710.7584,1
-10.7394438,657.828735,1
-10.7333164,669.5235,1
-10.7291145,702.314758,1
-10.7245369,722.6458,1
-10.6819906,673.2671,1
-10.6640882,732.4491,1
-10.6599216,645.707947,1
-10.6523581,646.4176,1
-10.6374826,706.188843,1
-10.6144371,671.7557,1
-10.5935917,679.1724,1
-10.5419588,706.8494,1
-10.54159,652.6139,1
-10.5366735,713.0945,1
-10.5219841,784.599731,1
-10.5189638,710.236938,1
-10.495244,658.776855,1
-10.4610119,697.277161,1
-10.4548559,655.1177,1
-10.4515886,662.961,1
-10.4489021,646.896362,1
-10.4386816,628.2519,1
-10.4356794,732.331055,1
-10.428587,730.9437,1
-10.42221,656.9344,1
-10.4140215,731.837341,1
-10.4122791,693.026062,1
-10.4033165,665.7198,1
-10.3907213,706.5881,1
-10.3880653,748.6236,1
-10.3785686,662.620056,1
-10.3491983,692.7063,1
-10.3309708,681.3229,1
-10.3019838,692.6848,1
-10.3003368,682.25,1
-10.2770872,639.5455,1
-10.2677975,709.3413,1
-10.2341661,672.550232,1
-10.2300444,663.466431,1
-10.2110863,717.992249,1
-10.1872578,652.1522,1
-10.183672,740.1951,1
-10.1770973,699.350342,1
-10.1311655,736.641,1
-10.0785847,677.1721,1
-10.0567131,664.551331,1
-10.0563049,657.9586,1
-10.0509424,714.333,1
-10.0478086,669.386536,1
-10.0463972,678.4405,1
-10.041337,686.0905,1
-10.0353584,685.9638,1
-10.0121431,690.196167,1
-9.999012,678.0645,1
-9.98204,689.3547,1
-9.981226,678.489136,1
-9.978341,656.0841,1
-9.972874,675.109131,1
-9.860374,728.8865,1
-9.850086,712.42926,1
-9.843381,661.493835,1
-9.842517,724.1268,1
-9.83325,623.6075,1
-9.82998,703.9451,1
-9.827899,620.336243,1
-9.825394,716.997131,1
-9.822292,681.5072,1
-9.809335,703.1228,1
-9.807511,700.6399,1
-9.784913,701.2599,1
-9.770036,654.8376,1
-9.763672,680.815552,1
-9.756749,710.867065,1
-9.741529,661.5172,1
-9.741269,659.4263,1
-9.723258,688.3886,1
-9.685784,699.605347,1
-9.68375,652.434937,1
-9.667781,697.9569,1
-9.655907,661.252747,1
-9.64401,642.189636,1
-9.642363,696.2021,1
-9.623052,652.1496,1
-9.606285,707.94696,1
-9.602091,703.197449,1
-9.593749,690.421143,1
-9.592369,647.78125,1
-9.592106,670.373535,1
-9.589809,650.4429,1
-9.582049,726.387,1
-9.581533,713.3446,1
-9.569717,661.372437,1
-9.563994,726.8194,1
-9.563747,724.5823,1
-9.558745,746.931152,1
-9.547093,675.8107,1
-9.541284,636.6831,1
-9.540757,663.8188,1
-9.538024,688.9339,1
-9.518324,660.151733,1
-9.453716,655.2919,1
-9.440187,679.177734,1
-9.435053,709.8858,1
-9.403583,717.6657,1
-9.403063,627.8513,1
-9.394994,688.675,1
-9.394045,682.1043,1
-9.385377,668.8629,1
-9.35628,676.6704,1
-9.355023,667.7336,1
