Ch1 Amplitude,Ch2 Amplitude,Cluster
-51.20808,721.1504,1
-44.6203957,701.0191,1
-44.6191,787.2007,1
-43.6274376,656.899841,1
-41.17184,683.9334,1
-40.9136772,682.8721,1
-39.1549034,675.793457,1
-37.4445229,651.735,1
-37.13287,692.1265,1
-36.62603,684.8356,1
-36.45308,683.503235,1
-35.4920921,777.351868,1
-35.3563728,647.6592,1
-35.3078041,646.977844,1
-34.3131371,684.1988,1
-33.3093872,626.643,1
-33.08062,795.8286,1
-33.02513,761.958435,1
-32.8054543,649.068237,1
-32.7959862,732.4584,1
-32.55712,719.331665,1
-32.2051125,664.772339,1
-32.106945,684.3598,1
-32.04665,666.3277,1
-31.7456646,662.62616,1
-31.7369766,730.447,1
-31.4371281,645.6591,1
-31.39296,631.581238,1
-31.352232,700.5524,1
-31.2962055,660.96875,1
-31.1010437,645.80365,1
-30.957777,647.8748,1
-30.861515,658.2286,1
-30.5790977,657.8099,1
-30.5431461,802.1241,1
-30.5335178,632.2385,1
-30.4883976,655.0688,1
-30.4543953,655.8172,1
-30.4048615,652.3192,1
-30.3488045,678.845,1
-30.348175,679.608154,1
-30.3105431,752.6004,1
-30.2297134,674.7582,1
-30.1750641,629.3926,1
-29.6284637,689.3344,1
-29.3721027,650.126648,1
-29.3004742,647.096,1
-28.8504963,714.0207,1
-28.5274563,706.308655,1
-28.4970646,655.566467,1
-28.4387054,670.021,1
-28.40009,747.2968,1
-28.2492638,668.4645,1
-27.7721462,675.823547,1
-27.6066017,768.2209,1
-27.5888062,635.3259,1
-27.45418,771,1
-27.3136444,789.103149,1
-27.2956085,631.5511,1
-27.150898,646.3488,1
-27.1140347,748.6606,1
-27.0628967,706.0195,1
-27.0401249,633.423,1
-26.9368534,747.680542,1
-26.8225,671.186646,1
-26.81984,654.386841,1
-26.5022449,639.4171,1
-26.44903,641.0874,1
-26.4246635,690.559753,1
-26.3970165,599.286255,1
-26.3845367,725.266663,1
-25.9858322,672.6968,1
-25.9819622,634.3883,1
-25.9632835,716.5897,1
-25.95391,763.9539,1
-25.9285736,671.324341,1
-25.88278,636.0969,1
-25.86551,652.1529,1
-25.5010967,721.273865,1
-25.173687,633.809143,1
-25.0539532,676.4987,1
-25.0533581,707.1951,1
-25.0479736,654.278931,1
-24.9117355,677.6859,1
-24.8652248,727.7362,1
-24.7951984,677.91095,1
-24.7553387,734.4511,1
-24.753418,708.8354,1
-24.7176743,662.2521,1
-24.70793,678.3825,1
-24.7055054,715.5546,1
-24.40911,699.0679,1
-24.2190781,680.4349,1
-24.192215,705.7695,1
-24.1595745,662.5605,1
-24.1231232,678.4514,1
-24.0807724,591.2299,1
-24.0371361,675.4529,1
-23.9568157,621.240662,1
-23.9121628,664.7425,1
-23.8033028,690.1322,1
-23.79872,659.154,1
-23.705843,676.503662,1
-23.6501961,661.2865,1
-23.5284367,693.381348,1
-23.4189339,650.2091,1
-23.37774,712.4315,1
-23.3442421,726.854553,1
-23.343235,619.605347,1
-23.3239975,629.540466,1
-23.2584038,638.725037,1
-23.2501488,661.7664,1
-23.20357,692.2882,1
-23.1615314,658.2011,1
-23.1353436,673.4088,1
-23.0861244,659.384338,1
-23.0081539,730.0168,1
-22.8887253,656.4929,1
-22.8556862,641.7566,1
-22.7387466,687.5647,1
-22.72724,638.605347,1
-22.6323814,588.5314,1
-22.4957485,630.7827,1
-22.4852924,813.67804,1
-22.4743385,695.5835,1
-22.4199677,640.2601,1
-22.3579025,706.234,1
-22.195303,625.4546,1
-22.17028,684.2898,1
-22.14485,664.095032,1
-22.071003,678.422546,1
-22.0660515,636.6042,1
-21.9691238,763.846558,1
-21.9409,663.7383,1
-21.87852,612.7033,1
-21.8401833,719.572754,1
-21.81945,619.552,1
-21.7036171,666.3932,1
-21.6636772,804.3285,1
-21.5848255,709.1752,1
-21.5216236,685.5816,1
-21.4134254,639.841,1
-21.37158,660.0701,1
-21.34511,684.2244,1
-21.335022,660.686,1
-21.3279324,634.722,1
-21.2804165,619.957458,1
-21.19488,677.389954,1
-21.1567783,666.082153,1
-21.0583839,634.3396,1
-21.0008144,677.713135,1
-20.9964237,707.995056,1
-20.9793262,747.453857,1
-20.9419632,631.482239,1
-20.9290371,695.8336,1
-20.9097672,670.3144,1
-20.7917747,685.8013,1
-20.7450314,648.9483,1
-20.7343616,661.4994,1
-20.7093887,640.1086,1
-20.6706142,757.631836,1
-20.6670723,639.6022,1
-20.5096226,624.6369,1
-20.4775562,683.9115,1
-20.4649544,676.6977,1
-20.418787,636.5715,1
-20.4015331,648.8298,1
-20.3695755,608.3894,1
-20.34315,677.109558,1
-20.279768,671.33075,1
-20.2774143,704.051331,1
-20.21168,649.657837,1
-20.1901417,671.3756,1
-20.17539,682.6449,1
-20.168047,641.3593,1
-20.121273,689.9105,1
-20.11582,601.600342,1
-20.0987,626.628967,1
-20.0898037,619.038757,1
-20.0797138,728.488647,1
-19.9983387,685.245544,1
-19.9455376,703.1081,1
-19.9422169,707.540161,1
-19.9115314,716.5645,1
-19.8899536,712.569031,1
-19.8879681,663.3077,1
-19.8717213,669.867859,1
-19.8277569,793.337158,1
-19.801054,707.415833,1
-19.7747822,705.690552,1
-19.7176056,665.2627,1
-19.6856041,666.8113,1
-19.6836357,601.789246,1
-19.6721077,708.5148,1
-19.62608,611.0839,1
-19.5999355,621.1699,1
-19.5995388,659.6292,1
-19.5788059,753.6968,1
-19.5712471,681.3305,1
-19.4899426,652.0753,1
-19.477314,753.8409,1
-19.4639034,679.619446,1
-19.4438953,752.425537,1
-19.4276333,704.2574,1
-19.4257,721.8757,1
-19.389225,654.9376,1
-19.37708,654.1608,1
-19.3390579,619.408447,1
-19.2907085,640.1049,1
-19.2268143,678.2676,1
-19.2131615,704.203064,1
-19.1931286,656.8851,1
-19.1869164,686.922852,1
-19.1142616,654.8726,1
-19.09631,633.5596,1
-18.9930744,662.042847,1
-18.9502926,679.0153,1
-18.93446,701.8784,1
-18.9167614,679.0613,1
-18.9066544,603.3431,1
-18.8871231,704.7313,1
-18.8677483,616.361633,1
-18.8511,646.1212,1
-18.8299923,659.669434,1
-18.8114758,674.5771,1
-18.7441,656.2575,1
-18.7078972,674.724365,1
-18.70205,688.6979,1
-18.69041,703.692261,1
-18.6850262,705.9983,1
-18.58695,645.354736,1
-18.5682735,680.246765,1
-18.5654373,640.6011,1
-18.5293064,650.437866,1
-18.51872,695.614563,1
-18.51707,642.032,1
-18.4171429,715.9996,1
-18.4069767,691.044861,1
-18.34289,620.1584,1
-18.3234482,753.099,1
-18.3043346,626.0916,1
-18.21221,709.1671,1
-18.2082443,645.0318,1
-18.2013283,681.2765,1
-18.1636963,662.093262,1
-18.1614666,789.978333,1
-18.150032,685.061768,1
-18.1490574,624.2238,1
-18.13707,628.920654,1
-18.1314449,633.037842,1
-18.1139336,638.042542,1
-17.9473686,658.7781,1
-17.9437542,655.4028,1
-17.83993,624.636536,1
-17.8366,673.831,1
-17.83605,698.368164,1
-17.8310719,704.4387,1
-17.8073978,765.6929,1
-17.705225,599.1233,1
-17.6659813,701.847534,1
-17.66181,666.3394,1
-17.6289635,622.8459,1
-17.6190338,624.1933,1
-17.6107655,708.3451,1
-17.5518875,738.087463,1
-17.4965935,782.2984,1
-17.4871655,621.6367,1
-17.36276,659.179932,1
-17.32196,629.4981,1
-17.2655773,675.252869,1
-17.25557,666.580566,1
-17.2349968,624.448,1
-17.2327271,641.6121,1
-17.2134686,614.495,1
-17.2039185,637.277954,1
-17.1936531,665.2534,1
-17.1648216,696.531738,1
-17.0691624,681.8044,1
-17.0596313,720.403,1
-17.0521622,684.564758,1
-17.0293217,714.824951,1
-16.9978733,735.0487,1
-16.9753036,678.4813,1
-16.9474525,663.469666,1
-16.9474144,672.828857,1
-16.92891,730.6722,1
-16.9087982,644.686768,1
-16.8935738,694.557251,1
-16.87142,684.1741,1
-16.8606758,743.9153,1
-16.8385181,685.896545,1
-16.8189373,668.7018,1
-16.7439022,703.6437,1
-16.7226887,670.470337,1
-16.6659718,599.6486,1
-16.6521282,668.0559,1
-16.6138268,680.4816,1
-16.591671,666.344238,1
-16.5836067,634.7951,1
-16.5740948,706.6328,1
-16.5655422,681.9336,1
-16.5303574,637.885254,1
-16.4847336,619.540955,1
-16.4534721,685.811,1
-16.4203,682.9302,1
-16.414814,708.8966,1
-16.4022446,780.682251,1
-16.4020634,671.7683,1
-16.3743076,632.7869,1
-16.3110027,637.9726,1
-16.2527027,628.0447,1
-16.25126,653.1415,1
-16.2450047,648.5982,1
-16.19641,665.105652,1
-16.1322441,693.7794,1
-16.0706654,732.033447,1
-16.0477219,650.675964,1
-16.02341,778.5194,1
-16.0002155,684.944031,1
-15.9602356,665.2441,1
-15.9241867,669.9034,1
-15.91987,678.933533,1
-15.8811693,682.3241,1
-15.8623314,687.2625,1
-15.840601,691.9961,1
-15.7243042,616.697632,1
-15.7124939,664.217651,1
-15.7080479,793.2609,1
-15.704792,625.892151,1
-15.6973133,716.5472,1
-15.6887865,677.42926,1
-15.6003046,660.819946,1
-15.5597744,677.5152,1
-15.5584116,627.504,1
-15.5488043,677.193665,1
-15.5017967,633.0896,1
-15.5009518,659.0011,1
-15.4970207,681.257263,1
-15.4696474,662.760742,1
-15.4666939,709.503235,1
-15.44728,762.2404,1
-15.4418917,627.846436,1
-15.3902292,667.756165,1
-15.358942,609.988,1
-15.3520164,743.6939,1
-15.319829,614.3179,1
-15.28956,634.86,1
-15.2894192,606.4563,1
-15.2805948,664.6037,1
-15.2581758,691.113647,1
-15.2396574,677.070251,1
-15.1983252,691.3582,1
-15.1962862,624.927368,1
-15.1814861,667.800049,1
-15.162159,640.2925,1
-15.1447506,664.6191,1
-15.1228933,677.42865,1
-15.0628643,740.6535,1
-15.0436773,655.784,1
-15.0245676,696.9813,1
-15.019475,669.8098,1
-15.0149813,634.3763,1
-14.9977055,709.33606,1
-14.9264355,701.4777,1
-14.9060011,651.387634,1
-14.8075762,731.7697,1
-14.7920017,639.295837,1
-14.7676907,758.6796,1
-14.7606821,641.5738,1
-14.7503548,648.911438,1
-14.7390909,740.8502,1
-14.712285,772.108,1
-14.6977177,655.3439,1
-14.6923523,720.4326,1
-14.6725893,643.062866,1
-14.633297,676.1106,1
-14.6068525,673.797058,1
-14.545907,676.264832,1
-14.5386229,685.7451,1
-14.5193253,635.0666,1
-14.51075,655.4326,1
-14.5099535,704.373535,1
-14.474515,735.727539,1
-14.4473124,608.961243,1
-14.4049482,642.8499,1
-14.39701,789.862,1
-14.3944693,641.332947,1
-14.3932,620.2548,1
-14.3773251,690.9113,1
-14.3622885,702.480042,1
-14.3602266,631.9436,1
-14.3276176,609.7081,1
-14.3133574,665.201,1
-14.2732077,657.048,1
-14.2492485,690.5174,1
-14.2300062,633.017334,1
-14.2240181,600.0393,1
-14.1295862,671.838,1
-14.1259871,646.6154,1
-14.1194763,627.534546,1
-14.0724325,738.266235,1
-14.0648623,664.282654,1
-14.0644827,727.5715,1
-14.0606356,746.146545,1
-14.051734,746.615356,1
-14.049799,679.947937,1
-14.034667,631.5909,1
-14.01943,636.370239,1
-13.9880514,683.1194,1
-13.9749393,686.8465,1
-13.9674273,643.335449,1
-13.9434128,620.976,1
-13.9296131,633.9862,1
-13.8996449,656.5363,1
-13.8818989,655.124,1
-13.8384848,650.1493,1
-13.7782526,638.39,1
-13.7623,706.059937,1
-13.7527838,632.520264,1
-13.7492409,642.309143,1
-13.74682,641.892639,1
-13.74263,716.5075,1
-13.7267065,641.6853,1
-13.71973,629.787354,1
-13.71144,662.7279,1
-13.7024765,698.6301,1
-13.6872492,646.521057,1
-13.6809511,705.068665,1
-13.6574392,598.442139,1
-13.6104374,646.405,1
-13.5950327,634.2023,1
-13.59216,672.6093,1
-13.5885181,641.9061,1
-13.58427,705.978455,1
-13.57301,645.3272,1
-13.5678358,591.3003,1
-13.4979343,683.2686,1
-13.4967527,642.5619,1
-13.46961,708.861755,1
-13.468648,651.6946,1
-13.4572124,653.294067,1
-13.4380064,694.3649,1
-13.4256315,667.6342,1
-13.4143667,638.617,1
-13.4073725,648.712,1
-13.403759,611.4548,1
-13.3765583,668.7992,1
-13.3521681,715.5653,1
-13.3517017,705.5804,1
-13.3399153,659.283752,1
-13.3377285,665.734253,1
-13.321578,665.726563,1
-13.2959023,655.3349,1
-13.2918215,726.8883,1
-13.2836828,653.6211,1
-13.2565031,651.978333,1
-13.238884,636.8797,1
-13.2281685,661.100769,1
-13.21923,685.7036,1
-13.2011356,696.0856,1
-13.1992416,619.6697,1
-13.1802006,674.7283,1
-13.1744061,669.03064,1
-13.1397734,666.9926,1
-13.0542154,664.9186,1
-13.0398283,723.95636,1
-13.0326605,604.068542,1
-13.0182829,608.537659,1
-13.0059233,621.43335,1
-12.9707174,666.5972,1
-12.9613314,650.7539,1
-12.93744,687.285339,1
-12.9107,646.536438,1
-12.89511,620.9894,1
-12.8628349,624.48584,1
-12.8595228,623.8688,1
-12.8574772,634.2325,1
-12.8522167,685.0036,1
-12.8503942,618.9715,1
-12.8475294,643.1343,1
-12.8372965,646.5348,1
-12.8368654,600.912048,1
-12.8014536,728.1328,1
-12.7765894,613.438354,1
-12.7593222,614.5577,1
