Ch1 Amplitude,Ch2 Amplitude,Cluster
-61.6140823,797.904663,1
-47.154705,795.136536,1
-43.32092,654.6957,1
-42.9126854,669.3149,1
-42.6313972,711.7155,1
-42.0512466,717.1813,1
-40.7759247,693.948,1
-40.6989746,720.9878,1
-40.28121,703.8217,1
-39.73353,766.8776,1
-38.6779,688.180054,1
-38.25727,663.171936,1
-35.52844,742.4444,1
-34.8701935,654.4198,1
-34.46336,735.723633,1
-34.2403221,804.524841,1
-33.299614,695.0873,1
-32.6936035,665.2669,1
-32.64503,687.6646,1
-32.1490631,646.5932,1
-32.00347,725.1746,1
-31.8124638,760.8436,1
-31.6559639,809.522766,1
-31.4098186,779.4855,1
-31.2560215,664.479248,1
-31.1768646,699.345947,1
-31.150713,740.388855,1
-31.12689,699.070557,1
-30.7176685,678.95,1
-30.4594364,727.7577,1
-30.3120346,701.1686,1
-29.64278,680.2451,1
-29.5474319,703.275,1
-29.5440712,776.745544,1
-29.3687134,672.975,1
-28.8670082,691.4551,1
-28.5183067,727.670532,1
-28.4052773,661.443,1
-28.24251,656.1379,1
-28.2281933,711.272949,1
-28.0896,660.3843,1
-27.91017,674.5027,1
-27.8051033,665.136536,1
-27.6889725,691.232,1
-27.5756721,681.9997,1
-27.4439278,751.809265,1
-27.2060566,711.67334,1
-27.1617031,692.556641,1
-26.9810047,708.8659,1
-26.9353371,708.2081,1
-26.8324032,663.2593,1
-26.78142,692.8573,1
-26.75655,685.797546,1
-26.5376968,687.8502,1
-26.4503784,635.2152,1
-26.230711,723.6809,1
-25.97843,658.5241,1
-25.8348026,647.51355,1
-25.7574577,677.4365,1
-25.5075321,660.952,1
-25.45003,706.3249,1
-25.4290428,679.775,1
-25.3957272,647.9505,1
-25.3254223,691.591858,1
-24.816328,668.6693,1
-24.62994,694.7289,1
-24.5027084,732.9499,1
-24.47683,645.5837,1
-24.3016834,698.537354,1
-24.2484169,675.3412,1
-24.1358128,657.9084,1
-24.0822773,707.9729,1
-24.0775032,630.763,1
-24.036953,757.5321,1
-23.981699,696.151245,1
-23.9167957,674.402466,1
-23.8718262,708.1205,1
-23.65383,751.9739,1
-23.545248,675.926331,1
-23.5403461,672.7334,1
-23.46337,682.737244,1
-23.4423771,768.6057,1
-23.40289,674.6952,1
-23.3912048,645.4236,1
