Ch1 Amplitude,Ch2 Amplitude,Cluster
-49.4391479,732.947937,1
-44.59125,628.7623,1
-44.3322029,682.928162,1
-44.0072174,762.835754,1
-40.357338,674.6365,1
-40.02163,698.4909,1
-39.5848923,724.149658,1
-36.9542351,660.4129,1
-36.62798,627.653931,1
-35.38963,706.6578,1
-35.3190155,738.3068,1
-35.05819,726.249,1
-34.88237,654.705444,1
-34.65549,709.4641,1
-34.0613251,681.145142,1
-33.985836,649.8282,1
-33.84276,724.4264,1
-33.74349,698.563,1
-33.44103,741.5224,1
-33.25846,667.9257,1
-32.9842949,699.808533,1
-32.8957748,710.14386,1
-32.8548622,719.379,1
-32.3576126,702.2685,1
-32.28432,667.975037,1
-32.2534065,682.16,1
-31.9398212,680.4819,1
-31.8823948,681.614441,1
-31.8346329,709.076233,1
-31.7982216,677.3906,1
-31.6672974,667.2321,1
-31.02722,736.858948,1
-30.7931767,675.401245,1
-30.6319218,689.4793,1
-30.5582047,692.751,1
-30.5296116,775.484863,1
-30.1346645,698.7243,1
-30.0916729,755.420837,1
-29.7498779,713.7721,1
-29.72453,634.2525,1
-29.6621017,656.0851,1
-29.5375233,617.0996,1
-29.478632,691.7772,1
-29.29803,712.6727,1
-29.2912,678.0834,1
-28.856678,675.8742,1
-28.8499126,684.0582,1
-28.8426285,671.2744,1
-28.7815266,626.3427,1
-28.51577,685.771545,1
-28.4045429,673.554749,1
-28.33783,717.5208,1
-28.269146,681.5291,1
-28.2531376,681.263367,1
-27.9563789,802.9587,1
-27.3859386,673.1281,1
-27.1640453,716.8328,1
-27.128418,702.2896,1
-27.0009022,699.141541,1
-26.93279,740.7825,1
-26.91987,635.7878,1
-26.68631,692.6475,1
-26.6703949,673.788452,1
-26.6073036,676.751648,1
-26.5960846,708.1301,1
-26.46195,751.287,1
-26.1761322,643.4857,1
-26.1532135,730.474365,1
-26.0168438,734.770264,1
-25.9549465,680.425049,1
-25.8725815,633.2616,1
-25.8147964,714.4526,1
-25.7755089,663.2025,1
-25.73186,688.0128,1
-25.6954021,751.2639,1
-25.5876942,684.210449,1
-25.4214382,653.988464,1
-25.3592854,658.498047,1
