Ch1 Amplitude,Ch2 Amplitude,Cluster
-59.6997452,550.857239,1
-41.4300575,531.847839,1
-36.47414,508.983917,1
-36.3263359,561.698669,1
-35.57954,519.4011,1
-35.57444,527.301453,1
-35.3918343,566.9305,1
-34.42546,537.9219,1
-33.7532158,531.5729,1
-33.6484528,548.289,1
-33.49339,604.850037,1
-33.2975,523.207,1
-33.2137,541.0542,1
-32.86239,522.7912,1
-32.53459,486.665527,1
-32.1574135,557.900635,1
-31.5329361,521.3885,1
-30.8845577,505.510864,1
-30.4075565,551.904663,1
-30.1284561,520.5066,1
-29.9914932,515.630554,1
-29.5963287,544.1805,1
-28.6103916,530.3697,1
-26.7521248,539.347656,1
-26.6680584,517.744,1
-26.2213478,582.263,1
-26.1731,541.4059,1
-26.0854263,522.227661,1
-26.0185127,495.856384,1
-25.8843269,492.232239,1
-25.8061275,595.565857,1
-25.5209351,541.955139,1
-25.1033115,512.487732,1
-24.1534653,557.971863,1
-23.435709,522.777954,1
-23.41185,552.997742,1
-23.3778915,514.7168,1
-23.194149,527.472046,1
-22.9298286,540.636963,1
-22.824995,497.5309,1
-22.7365551,516.740234,1
-22.6345844,533.0526,1
-22.40773,509.2967,1
-22.2851181,508.73642,1
-22.2770233,532.6885,1
-22.1329975,517.6373,1
-22.0623932,508.184631,1
-21.590374,545.2768,1
-21.393528,545.2229,1
-21.1918812,549.612,1
-21.1864185,528.028259,1
-21.13353,536.986938,1
-21.0928268,543.5657,1
-20.9465313,496.304077,1
-20.9381428,486.301483,1
-20.9272785,503.5443,1
-20.9128418,576.44,1
-20.8807735,517.7634,1
-20.8411274,560.122559,1
-20.7206211,511.3455,1
-20.5613174,520.1748,1
-20.3111954,555.5572,1
-20.1483326,548.7733,1
-20.06984,528.677551,1
-20.06939,475.559143,1
-20.0638523,520.3476,1
-19.7963085,538.004761,1
-19.662096,545.2437,1
-19.3331528,496.0854,1
-19.3146362,545.9077,1
-19.0684471,532.513,1
