Ch1 Amplitude,Ch2 Amplitude,Cluster
-45.17825,691.693054,1
-44.72773,705.699463,1
-43.5988846,674.189,1
-43.415554,668.1628,1
-43.0918541,700.8881,1
-43.00644,707.932861,1
-42.1708565,701.6722,1
-38.28118,669.7155,1
-37.20941,697.9965,1
-36.71316,720.954346,1
-35.7472878,726.4405,1
-35.4853439,680.684448,1
-34.31532,674.2388,1
-34.14554,680.0582,1
-34.07391,696.4936,1
-34.05995,656.794434,1
-34.00902,688.5064,1
-33.8629036,695.814,1
-33.7986755,695.7102,1
-33.59075,715.4119,1
-33.3490868,670.6468,1
-32.4975166,662.1858,1
-31.9133739,681.5179,1
-31.89363,640.8832,1
-31.2921677,715.4084,1
-31.2071362,626.6739,1
-31.1075325,713.5025,1
-30.9865,692.6098,1
-30.72108,638.961243,1
-30.3539848,724.778931,1
-30.3004951,674.932434,1
-30.1638126,681.082642,1
-30.10396,701.5399,1
-30.06693,701.9107,1
-29.9860077,799.866638,1
-29.57223,719.6958,1
-29.4116516,751.778442,1
-28.7465019,663.7289,1
-28.5763874,719.0935,1
-28.080719,771.435364,1
-27.7992,635.263245,1
-27.7657089,649.6651,1
-27.3997345,657.407837,1
-27.3124752,705.740662,1
-27.2474937,812.989258,1
-27.232008,677.647,1
-27.1168175,642.954956,1
-27.075676,607.9104,1
-26.9937763,783.319031,1
-26.8278084,689.128967,1
-26.7494373,703.617859,1
-26.5904236,686.4448,1
-26.4800014,746.4023,1
-26.4335766,644.838562,1
-26.40596,686.3691,1
-26.3222542,654.6018,1
-26.25974,652.8596,1
-26.0845814,690.2487,1
-26.029129,669.4133,1
-26.0143261,675.3484,1
-25.92475,716.818359,1
-25.7321739,695.3847,1
-25.6958752,613.178345,1
-25.5567665,697.3114,1
-25.4552612,661.0256,1
-25.2906837,684.8985,1
-25.0804882,697.1439,1
-25.0606613,804.1573,1
-25.01307,717.3294,1
-24.7477112,714.1097,1
-24.5811157,636.9056,1
-24.519577,657.6072,1
-24.3201981,719.892761,1
-24.29987,649.1869,1
-24.2508049,677.4122,1
-24.0622864,650.9169,1
-23.9525089,752.6626,1
-23.8969746,676.8846,1
-23.73517,666.6163,1
-23.7185822,642.5349,1
-23.6526546,667.6759,1
-23.5633373,687.2661,1
-23.4309654,691.9293,1
-23.2540455,634.6241,1
-23.2124062,688.7302,1
-23.1744671,675.9509,1
-23.0679626,604.46936,1
-22.776495,652.9015,1
-22.6286011,647.2315,1
-22.6115932,693.3862,1
-22.4856968,754.197144,1
-22.4375267,728.084167,1
-22.203289,707.0727,1
-22.1190567,677.324158,1
-22.061348,670.191345,1
-22.0259838,731.1536,1
-21.910574,678.2974,1
-21.8848133,679.7214,1
-21.7883,635.3273,1
-21.7362442,639.1514,1
-21.7352123,706.7996,1
-21.63634,773.23175,1
-21.5267544,664.102356,1
-21.4105,683.5621,1
-21.3770142,658.115356,1
-21.3706722,696.453552,1
-21.19384,721.19165,1
-21.11217,675.232544,1
-21.0734348,685.3391,1
-21.0712318,743.409851,1
-20.9859982,627.975464,1
-20.93423,699.6577,1
-20.9222641,667.6111,1
-20.82108,632.0231,1
-20.7594967,786.261841,1
-20.7078457,626.0529,1
-20.6691151,665.7827,1
-20.66283,701.927246,1
-20.6107883,655.443359,1
-20.52465,671.1608,1
-20.302763,723.2946,1
-20.2183971,732.397461,1
-20.1677322,647.0263,1
-20.1065445,659.8667,1
-20.094696,635.3574,1
-19.92978,659.494934,1
-19.81542,718.073853,1
-19.7677975,662.77594,1
-19.6244717,711.2239,1
-19.6126022,663.695862,1
-19.5925312,698.4556,1
-19.57802,702.4924,1
-19.55073,713.1463,1
-19.5222816,719.7224,1
-19.4931889,691.9463,1
-19.4800682,702.8851,1
-19.3858,701.744,1
-19.3005848,686.912659,1
-19.2693329,745.840942,1
-19.0628014,611.9229,1
-18.99085,691.1612,1
-18.9830532,628.8365,1
-18.9346924,643.3448,1
-18.9050465,692.475769,1
-18.8100147,706.215759,1
-18.6958675,676.402344,1
-18.5753365,666.772949,1
-18.41926,659.6398,1
-18.406,689.903259,1
-18.3685417,705.057,1
-18.358963,728.211,1
-18.2764282,680.3802,1
-18.2662735,628.233948,1
-18.22345,691.6172,1
-18.2230034,646.398132,1
-18.194437,646.955933,1
-18.15435,652.8348,1
-18.0124016,669.840759,1
-18.0013847,646.8173,1
-17.971344,759.704346,1
-17.9538,673.873962,1
-17.9128456,664.050842,1
-17.8960018,651.8545,1
-17.8548145,720.315247,1
-17.8245468,748.6381,1
-17.7846661,687.700256,1
-17.7619438,644.3585,1
-17.6141853,663.6498,1
-17.5886154,679.138733,1
-17.5846977,606.2032,1
-17.5144577,680.805664,1
-17.5144176,651.2469,1
-17.4983368,669.4539,1
-17.4756413,684.500061,1
-17.3870659,685.310852,1
-17.2852345,744.923767,1
-17.2784252,650.4999,1
-17.1547947,688.0336,1
-17.1282234,657.7163,1
-17.1218586,697.3974,1
-17.0527534,713.375854,1
-17.04395,679.3698,1
-17.0398922,654.264465,1
-16.9880657,683.9211,1
-16.8829517,656.9453,1
-16.8701916,694.4179,1
-16.8497753,681.443,1
-16.8289661,714.971863,1
-16.78696,702.2975,1
-16.5812759,777.5564,1
-16.5619717,608.9574,1
-16.537796,660.6034,1
-16.51676,655.3476,1
-16.4861088,678.9084,1
-16.47971,679.3568,1
-16.4494553,648.7602,1
-16.3987885,666.953735,1
-16.34393,601.0009,1
-16.3426876,699.097046,1
-16.28366,575.0804,1
-16.2523136,709.5393,1
-16.2209988,680.2968,1
-16.216198,691.9454,1
-16.16664,718.5128,1
-16.1179314,671.432251,1
-16.1168671,645.538757,1
-16.0682354,632.9358,1
-16.0655651,675.721436,1
-16.0263348,678.555,1
-16.0083981,678.793457,1
-15.9818659,676.647461,1
-15.9613142,732.2714,1
-15.9520864,687.446838,1
-15.9415169,684.367737,1
-15.9278507,673.432739,1
-15.9198036,638.31665,1
-15.8848724,690.863831,1
-15.8761244,645.943359,1
-15.8547945,701.241943,1
-15.8427715,652.9884,1
-15.7442694,659.407837,1
-15.7326345,692.2484,1
-15.7105455,689.4751,1
-15.7042065,669.601746,1
-15.6946163,688.397644,1
-15.6803761,619.7116,1
-15.6695728,653.0056,1
-15.6646624,629.5239,1
-15.6416006,697.2848,1
-15.5485249,636.2754,1
-15.512784,672.6104,1
-15.4810219,708.702637,1
-15.4788952,729.42,1
