Ch1 Amplitude,Ch2 Amplitude,Cluster
-75.81035,766.5436,1
-48.4872856,689.814758,1
-46.3092155,707.0326,1
-45.1891,659.863037,1
-42.52361,729.4876,1
-41.6128426,592.877747,1
-40.994976,642.4094,1
-40.8853569,728.9775,1
-40.5967674,639.007935,1
-40.1182327,597.4339,1
-39.8382,617.9863,1
-39.8377,631.917542,1
-38.5860519,606.4069,1
-38.1513443,662.2925,1
-38.0075264,687.1072,1
-37.6856155,584.823853,1
-37.48548,625.484253,1
-37.37325,613.373535,1
-36.6116142,617.386,1
-36.2700958,618.8159,1
-35.8778877,641.832153,1
-35.7452736,609.495544,1
-35.6766167,691.331,1
-35.4148178,636.998352,1
-34.71839,670.6265,1
-34.5160255,725.2193,1
-33.9209023,651.42865,1
-33.51776,727.690247,1
-33.5091438,667.4447,1
-33.27806,586.5843,1
-33.1283646,679.913269,1
-33.0733147,633.712769,1
-32.9805374,694.3734,1
-32.8187561,710.238159,1
-32.4598732,606.825256,1
-32.32187,585.305359,1
-32.087822,733.351746,1
-31.7967625,621.8358,1
-31.68304,659.916138,1
-31.6289043,712.822,1
-31.2240887,654.3172,1
-31.0519981,699.787048,1
-30.9661636,704.3506,1
-30.9059486,684.32074,1
-30.8703918,748.9691,1
-30.6705074,626.5417,1
-30.4821568,630.734558,1
-30.3806953,624.184753,1
-30.3127441,599.8756,1
-30.1569538,701.371948,1
-29.88189,679.918,1
-29.6557236,659.9202,1
-29.6194859,577.0456,1
-29.5474434,632.791565,1
-29.3650341,613.521545,1
-29.34503,585.4806,1
-29.16583,645.8033,1
-29.0000534,612.111267,1
-28.91869,658.213562,1
-28.8616447,623.543,1
-28.77919,645.7334,1
-28.7518482,718.217346,1
-28.7235451,661.6644,1
-28.62254,651.521851,1
-28.6147041,605.4122,1
-28.5957832,596.596558,1
-28.59381,687.735,1
-28.5069923,647.8078,1
-28.3142586,608.824036,1
-28.2933331,636.648254,1
-28.2047863,644.8889,1
-28.0188866,696.5998,1
-28.0113468,590.8359,1
-27.9380035,628.206238,1
-27.836668,663.3728,1
-27.50486,677.887939,1
-27.4889011,653.9387,1
-27.4880238,663.2019,1
-27.48473,741.939941,1
-27.3057175,661.9286,1
-27.2875977,647.775635,1
-27.2813168,587.5014,1
-27.0742855,610.4355,1
-26.99112,673.227539,1
-26.9831657,620.5145,1
-26.9180984,592.3249,1
-26.8631821,669.5922,1
-26.5980568,644.0707,1
-26.550272,673.1526,1
-26.3441849,624.3876,1
-26.31003,614.321838,1
-26.27574,663.50885,1
-26.25638,642.140564,1
-26.21839,602.9581,1
-26.1457767,668.612,1
-26.0615368,631.0637,1
-26.0546169,683.336853,1
-26.0255032,647.259155,1
-25.9181252,657.4464,1
-25.8672562,743.6743,1
-25.8427982,662.569458,1
-25.8375549,674.3034,1
-25.8301468,658.846,1
-25.70299,574.575,1
-25.6132221,677.4693,1
-25.3712177,625.9026,1
-25.2909489,611.159,1
-25.2213955,629.436462,1
-25.2154217,633.7884,1
-25.2040024,631.504,1
-25.1901932,627.1997,1
-25.1462212,629.4904,1
-25.07268,641.427734,1
-25.0506287,586.0394,1
-24.99176,663.7594,1
-24.9063663,674.6627,1
-24.8686638,581.6225,1
-24.83709,648.41925,1
-24.8290119,585.7232,1
-24.7540359,652.9171,1
-24.7058945,624.411865,1
-24.6011562,627.590637,1
-24.5932484,617.3915,1
-24.5675468,633.704163,1
-24.5360584,606.517456,1
-24.52638,616.2302,1
-24.5183449,668.9053,1
-24.497385,700.3559,1
-24.41066,689.7651,1
-24.3174152,623.7235,1
-24.2748165,627.8318,1
-24.2001057,631.4102,1
-24.1952515,635.198853,1
-24.13282,682.6497,1
-24.05858,619.0978,1
-23.99985,638.0982,1
-23.939352,604.2272,1
-23.9229164,629.1982,1
-23.7330513,701.3158,1
-23.59036,584.5736,1
-23.5881958,606.9181,1
-23.5754185,615.3122,1
-23.5191689,601.727234,1
-23.5137749,664.845642,1
-23.44134,689.159363,1
-23.3364315,622.1862,1
-23.2975273,591.6268,1
-23.28207,610.366638,1
-23.27525,618.985,1
-23.19798,612.129456,1
-23.1553078,636.877,1
-23.12026,663.128357,1
-22.9653225,626.9324,1
-22.9522228,677.200439,1
-22.9084854,694.599854,1
-22.9038773,681.141357,1
-22.8986282,647.6753,1
-22.866518,682.9697,1
-22.84719,619.164063,1
-22.6996632,601.797852,1
-22.65867,649.095032,1
-22.6121788,635.695435,1
-22.5430126,662.1986,1
-22.51905,595.656,1
-22.45514,632.117554,1
-22.446867,585.4355,1
-22.4042835,624.0685,1
-22.3934517,629.492432,1
-22.36386,620.555847,1
-22.34327,663.8222,1
-22.3387032,693.283569,1
-22.15491,608.7687,1
-22.092968,627.4055,1
-22.0280685,599.992859,1
-22.0237961,620.9754,1
-21.9309635,602.7202,1
-21.9229259,623.6669,1
-21.88523,637.7866,1
-21.8667774,661.0042,1
-21.8641167,657.8201,1
-21.85645,666.032532,1
-21.8448677,607.565552,1
-21.8391819,604.8411,1
-21.71753,646.8304,1
-21.6195526,577.821533,1
-21.6024532,666.3469,1
-21.543375,633.108032,1
-21.4448128,643.115967,1
-21.4299564,586.0415,1
-21.37734,587.001648,1
-21.308815,644.0424,1
-21.26736,661.64,1
-21.235817,593.4457,1
-21.2256069,616.685852,1
-21.12594,604.453369,1
-21.0644188,619.019531,1
-21.0105839,618.7337,1
-20.9592285,604.9683,1
-20.94172,666.6623,1
-20.8869648,659.6972,1
-20.7819386,623.176,1
-20.6841278,660.056335,1
-20.6476536,640.742554,1
-20.6197166,595.2018,1
-20.6134911,594.5435,1
-20.5629768,619.876,1
-20.5487137,637.1421,1
-20.4731731,657.170044,1
-20.4138432,642.4359,1
-20.3883038,585.7066,1
-20.368681,639.6478,1
-20.3459663,634.3484,1
-20.2924786,686.4921,1
-20.2396336,635.3263,1
-20.2291489,613.437134,1
-20.192152,652.2247,1
-20.0135365,596.4041,1
-20.010561,619.2267,1
-20.007452,601.827,1
-19.9942913,655.574341,1
-19.9302349,647.6049,1
-19.9236469,573.7434,1
-19.8981152,588.8576,1
-19.8633289,639.3904,1
-19.7812729,710.8531,1
-19.76402,616.680237,1
-19.7506962,581.9701,1
-19.691309,599.0087,1
-19.68167,653.153748,1
-19.67677,591.254456,1
-19.6437416,657.4673,1
-19.59605,584.030457,1
-19.5957718,664.2091,1
-19.58522,574.167542,1
-19.5376,703.891235,1
-19.4501381,623.033569,1
-19.4267387,644.839844,1
-19.3574829,585.252441,1
-19.3382244,608.4619,1
-19.224247,611.4241,1
-19.2196789,718.9867,1
-19.1864357,671.894,1
-19.1035957,643.587341,1
-19.0880661,622.611633,1
-19.0818748,607.285339,1
-19.055809,640.6902,1
-18.9650726,640.478,1
-18.9624615,665.698853,1
-18.9220448,610.704,1
-18.888361,730.903748,1
-18.8618546,685.2069,1
-18.8601322,703.230042,1
-18.820076,638.15094,1
-18.8127613,573.6633,1
-18.8004818,640.787659,1
-18.7860737,663.1438,1
-18.74102,681.7448,1
-18.7229939,611.6594,1
-18.6704826,634.946533,1
-18.638628,680.5972,1
-18.6346,677.983337,1
-18.5898457,592.8905,1
-18.580183,677.213,1
-18.5185413,640.745361,1
-18.5148849,692.4634,1
-18.50913,637.6744,1
-18.4929676,708.6991,1
-18.4795151,599.8533,1
-18.4668922,583.3335,1
-18.4470882,597.9612,1
-18.425024,619.836731,1
-18.4075871,587.634949,1
-18.4020748,685.269348,1
-18.3314056,626.5955,1
-18.3236656,629.9588,1
-18.3104744,649.8778,1
-18.30215,671.627258,1
-18.2809067,702.2887,1
-18.2265224,665.3974,1
-18.21781,670.448547,1
-18.192461,669.7197,1
-18.1662979,579.3169,1
-18.15768,607.9756,1
-18.13015,621.6015,1
-18.0007763,597.8065,1
-17.9713516,617.002136,1
-17.96927,652.802063,1
-17.9650421,617.678,1
-17.9547672,631.7397,1
-17.9202824,677.7989,1
-17.9182243,595.363159,1
-17.89897,601.6317,1
-17.874815,685.959656,1
-17.86749,666.646545,1
-17.7983589,561.232,1
-17.7716942,571.390747,1
-17.770647,624.500061,1
-17.7249088,652.5236,1
-17.6552525,658.0893,1
-17.64711,622.1625,1
-17.6340542,644.950256,1
-17.58484,580.1923,1
-17.5674648,671.060364,1
-17.5602131,601.27,1
-17.5234375,680.1342,1
-17.4970512,608.564453,1
-17.4930725,596.033936,1
-17.482336,579.164,1
-17.3858929,598.8496,1
-17.3103123,600.497864,1
-17.2970142,661.718262,1
-17.2939739,661.7665,1
-17.2638416,658.141663,1
-17.2282867,681.9915,1
-17.2062283,623.4191,1
-17.1713028,624.644958,1
-17.16153,615.7008,1
-17.1548347,603.912,1
-17.1247978,615.766,1
-17.1232929,645.417,1
-17.1041031,623.795654,1
-17.0535316,580.625366,1
-17.0423622,641.8798,1
-16.9840145,641.2771,1
-16.8706989,635.525269,1
-16.864172,644.2781,1
-16.8479843,639.626953,1
-16.8413963,569.2267,1
-16.83475,606.5867,1
-16.8198586,570.090332,1
-16.8129654,686.647339,1
-16.778965,624.144531,1
-16.7719555,708.4862,1
-16.6790371,592.569641,1
-16.599556,615.431641,1
-16.5705166,619.3972,1
-16.5357857,623.8873,1
-16.4708862,623.008667,1
-16.4374065,530.912537,1
-16.4164772,650.5104,1
-16.40988,617.8191,1
-16.3937149,622.509949,1
-16.368309,635.0242,1
-16.3667965,651.5395,1
-16.33187,625.232239,1
-16.27162,681.266235,1
-16.2694664,645.0812,1
-16.2642822,564.475952,1
-16.254488,641.832,1
-16.2461853,587.4667,1
-16.1801167,631.3551,1
-16.1790123,633.918945,1
-16.1674919,642.0468,1
-16.1030846,666.1803,1
-16.0933876,615.0763,1
-16.0803661,626.383057,1
-16.0343037,733.8865,1
-16.0186768,578.42865,1
-16.0121918,615.0453,1
-15.9742079,598.9,1
-15.9599695,604.686035,1
-15.9256916,606.708435,1
-15.9225807,636.1743,1
-15.9096117,627.5288,1
-15.9062815,650.701233,1
-15.896574,688.6446,1
-15.8731251,635.9034,1
-15.8621655,568.0242,1
-15.857399,578.689148,1
-15.8289,618.119141,1
-15.8077221,596.902,1
-15.7889948,667.3465,1
-15.7356129,597.3985,1
-15.7259674,643.915,1
-15.7129078,620.812134,1
-15.7040081,637.7369,1
-15.66021,603.6501,1
-15.6148911,623.725647,1
-15.6042824,617.674255,1
-15.5986261,702.9331,1
-15.59345,696.8615,1
-15.5469952,573.4356,1
-15.5426559,606.668335,1
-15.5403938,572.560852,1
-15.527091,631.7098,1
-15.44171,597.1238,1
-15.4191437,678.493958,1
-15.40094,638.5538,1
-15.3930016,637.739441,1
-15.3281517,697.994263,1
-15.3185444,639.1327,1
-15.3155289,651.657349,1
-15.2902336,688.100769,1
-15.2612572,589.7279,1
-15.2551508,583.9696,1
-15.2340155,603.2571,1
-15.2078342,601.0568,1
-15.20556,660.12,1
-15.1982689,638.4926,1
-15.1573353,677.1374,1
-15.154007,660.6051,1
-15.1537714,583.8839,1
-15.1465836,618.9746,1
-15.14092,597.549255,1
-15.1347952,626.342468,1
-15.128788,652.849731,1
-15.1141176,641.956543,1
-15.1140251,692.9554,1
-15.10696,602.3365,1
-15.1063519,628.6248,1
-15.1035452,654.7056,1
-15.0831957,605.848633,1
-15.0613317,656.933167,1
-15.050005,606.7088,1
-15.0189362,662.1472,1
-14.97359,639.5589,1
-14.9735355,607.3108,1
-14.9701929,684.282349,1
-14.9582119,610.8149,1
-14.9505529,717.0152,1
-14.9404516,646.5689,1
-14.9303732,660.964,1
-14.8998823,639.485168,1
-14.8963394,587.550354,1
-14.8835011,609.304138,1
-14.8540125,722.3025,1
-14.8523483,632.7959,1
-14.846508,595.070862,1
-14.8394318,573.30835,1
-14.8140631,595.9786,1
-14.79687,638.097656,1
-14.77905,653.189758,1
-14.7251434,651.470154,1
-14.7122936,628.818054,1
-14.7107754,625.572,1
-14.696538,577.415466,1
-14.6896429,645.128967,1
-14.6756706,600.054932,1
-14.671464,684.981445,1
-14.6682234,619.336731,1
-14.6579809,589.501,1
-14.6348934,581.2503,1
-14.5508623,689.510437,1
-14.5457478,615.9915,1
-14.5364208,610.997559,1
-14.5237455,674.828735,1
-14.5043926,617.991333,1
-14.4504976,656.250244,1
-14.4123487,676.5757,1
-14.4104,680.5395,1
-14.3994551,623.6091,1
-14.36572,615.0118,1
-14.3428574,588.77,1
-14.3426762,652.2993,1
-14.3175983,605.3227,1
-14.3173895,612.907,1
-14.3065414,693.0939,1
-14.2439232,613.70166,1
-14.23428,717.5659,1
-14.2319908,676.77124,1
-14.2054911,735.4215,1
-14.19236,607.7061,1
-14.192111,610.791748,1
-14.1741476,579.720337,1
-14.1570072,582.4545,1
-14.1175079,707.7263,1
-14.1111517,605.6228,1
-14.0923262,633.7546,1
-14.05433,611.173,1
-14.0289564,616.964844,1
-14.00525,565.2315,1
-13.9687281,573.8579,1
-13.9520388,637.5393,1
-13.9508219,613.836548,1
-13.9228764,591.9915,1
-13.9017744,614.304565,1
-13.8861618,630.39386,1
-13.7906961,653.3876,1
-13.7794991,582.501038,1
-13.7757149,649.624634,1
-13.7661953,589.148254,1
-13.7404795,673.063354,1
-13.69406,627.36615,1
-13.6887236,588.332458,1
-13.6778288,636.698669,1
-13.6721964,646.5427,1
-13.6601372,670.2938,1
-13.65843,672.1708,1
-13.6583166,598.4044,1
-13.6559544,607.0737,1
-13.6541662,655.1714,1
-13.6540222,601.7171,1
-13.6443834,607.927,1
-13.6438389,652.8792,1
-13.5516109,584.258667,1
-13.5202618,631.324,1
-13.5183764,697.180359,1
-13.5140762,627.813049,1
-13.5100136,607.3038,1
-13.4980431,677.366,1
-13.4725828,633.8535,1
-13.4666834,653.107666,1
-13.4644184,614.154053,1
-13.4226656,672.6289,1
-13.4172707,694.396667,1
-13.40774,634.0305,1
-13.3995,639.878845,1
-13.3842173,640.768433,1
-13.3333893,622.2218,1
-13.3228874,606.78595,1
-13.2997866,658.2066,1
-13.2622128,639.379944,1
-13.249464,648.0052,1
-13.24039,578.098633,1
-13.2163982,668.8085,1
-13.2137613,610.081,1
-13.2126617,638.3182,1
-13.2062292,596.4222,1
-13.1468887,582.7891,1
-13.1395578,644.5217,1
-13.128686,631.040955,1
-13.0770721,623.391541,1
-13.0738754,620.206238,1
-13.0600786,606.3478,1
-13.0293522,642.618164,1
-13.0202,669.1264,1
-13.0061026,620.7976,1
-12.9866266,576.1273,1
-12.9865675,557.8394,1
-12.9668245,617.1768,1
-12.9650974,634.8228,1
-12.9581032,609.037354,1
-12.9466991,623.3939,1
-12.90078,646.8298,1
-12.8942051,601.9981,1
-12.8916416,591.730042,1
-12.8857174,596.8999,1
-12.87642,590.9237,1
-12.8739653,568.293457,1
-12.8552227,602.4329,1
-12.8435287,579.5708,1
-12.8378744,620.809631,1
-12.81187,706.494141,1
-12.7894058,627.7159,1
-12.7628384,564.920166,1
-12.7066422,638.381653,1
-12.69553,585.9597,1
-12.6920443,622.7148,1
-12.65209,632.443359,1
-12.6239758,700.8386,1
-12.6222286,646.66156,1
-12.6199064,628.194153,1
-12.61388,658.0523,1
-12.611577,656.3985,1
-12.5977583,602.5969,1
-12.5934906,636.7753,1
-12.5828466,591.789856,1
-12.5660439,574.6958,1
-12.5405569,603.8773,1
-12.5357389,609.858032,1
-12.5140619,646.0604,1
-12.5091343,671.082764,1
-12.4584808,613.08844,1
-12.4434538,593.9065,1
